pacu,1
laju,1
Jangan,1
tembatkan,1
siang,2
Hancurkan,1
perbuat,1
Hilang,1
sonder,2
pusaka,1
kerabat,1
minta,2
ampun,1
dosa,1
memberi,1
pamit,1
siapa,2
saja,1
Mari,4
merasa,1
angkasa,1
kawan,1
sebaris,1
Tikamkan,1
pedangmu,1
hingga,1
hulu,1
Pada,1
mengairi,1
kemurnian,1
madu,2
Cerita,1
Buat,1
Dien,1
Tamaela,1
CERITA,1
BUAT,1
DIEN,1
TAMAELA,1
Beta,9
Pattirajawane,5
dijaga,2
datudatu,3
Cuma,2
Kikisan,1
laut,3
Berdarah,1
Ketika,1
lahir,1
dibawakan,1
Datu,1
dayung,1
sampan,1
menjaga,1
hutan,1
pala,3
Tiga,1
beta,3
nama,1
ganggang,2
menari,3
Menurut,1
tifa,1
pohon,1
Badan,1
perawan,1
pagi,2
beria,1
berlupa,1
Awas,1
jangan,1
bikin,3
marah,1
gadis,1
kirim,1
Irama,1
membakar,1
pulau,1
Persetujuan,1
Dengan,1
PERSETUJUAN,1
DENGAN,1
BUNG,1
KARNO,1
Ayo,1
kasih,1
janji,1
cukup,1
lama,2
dengan,1
mu,4
Dipanggang,1
Digarami,1
lautmu,1
mulai,1
tanggal,1
17,1
Agusutus,1
1945,1
melangkah,1
berada,2
rapat,1
sisimu,1
zat,3
urat,3
kapalkapakl,1
berlayar,1
kapalkapal,1
bertolak,1
berlabuh,1
Sebuah,2
Kamar,2
SEBUAH,1
KAMAR,1
jendela,1
menyerahkan,1
Bulan,1
menyinar,1
banyak,1
Sudah,1
lima,1
anak,1
bernyawa,1
salah,1
Ibuku,1
tertidur,1
tersedu,1
Keramaian,1
penjara,1
selalu,1
Bapak,2
jemu,1
Matanya,1
menatap,1
orang,1
tersalib,1
batu,1
Sekeliling,1
bunuh,1
adik,1
Ibu,1
Karena,1
mereka,1
hitungan,1
begini,1
3,1
x,1
4,1
terlalu,1
sempit,1
buat,1
meniup,1
Rumahku,1
RUMAHKU,1
Rumah,2
unggun,2
timbun,2
sajak,2
Kaca,1
jernih,1
nampak,1
gedong,1
lebar,1
halaman,1
tersesat,1
dapat,1
Kemah,1
dirikan,1
senja,2
kala,1
terbang,1
entah,1
berbini,1
beranak,1
Rasanya,1
datangnya,1
meraih,1
petang,1
berleleran,1
kata,1
manis,1
menagih,1
Sajak,1
Putih,1
SAJAK,1
PUTIH,1
Bersandar,1
tari,1
warna,1
pelangi,1
depanku,1
bertudung,1
sutra,1
hitam,1
matamu,2
kembang,1
mawar,1
melati,1
Harum,1
rambutmu,1
mengalun,1
bergelut,1
senda,1
menyanyi,1
mendoa,1
Meriak,1
kolam,1
dadaku,2
memerdu,2
lagu,1
Menarik,1
Hidup,1
hidupku,1
terbuka,1
bagiku,1
menengadah,1
mengalir,1
Antara,1
membelah,1
Source,1
httpsdeweezzcomkumpulanpuisichairilanwar,1
