p,198
u,397
i,554
s,223
c,51
h,139
a,1292
r,323
l,240
n,517
w,47
‘,16
k,342
’,16
m,316
t,303
e,454
o,34
g,262
y,68
d,266
j,77
b,186
?,3
.,26
!,15
",",35
…,1
-,19
4,3
5,2
(,1
),1
f,1
1,2
7,1
9,1
z,5
3,1
x,1
:,2
/,4
