rapat,1
sisimu,1
zat,3
urat,3
kapalkapakl,1
berlayar,1
kapalkapal,1
bertolak,1
berlabuh,1
sebuah,3
jendela,1
menyerahkan,1
bulan,1
menyinar,1
banyak,1
lima,1
anak,1
bernyawa,1
salah,1
ibuku,1
tertidur,1
tersedu,1
keramaian,1
penjara,1
selalu,1
bapak,2
jemu,1
matanya,1
menatap,1
orang,1
tersalib,1
batu,1
sekeliling,1
bunuh,1
adik,1
ibu,1
karena,1
mereka,1
hitungan,1
begini,1
3,1
x,1
4,1
terlalu,1
sempit,1
meniup,1
rumahku,2
unggun,2
timbun,2
sajak,4
kaca,1
jernih,1
nampak,1
gedong,1
lebar,1
halaman,1
tersesat,1
dapat,1
kemah,1
dirikan,1
kala,1
terbang,1
entah,1
berbini,1
beranak,1
rasanya,1
datangnya,1
meraih,1
petang,1
berleleran,1
kata,1
manis,1
menagih,1
putih,2
bersandar,1
tari,1
warna,1
pelangi,1
depanku,1
bertudung,1
sutra,1
hitam,1
matamu,2
kembang,1
mawar,1
melati,1
harum,1
rambutmu,1
mengalun,1
bergelut,1
senda,1
menyanyi,1
mendoa,1
meriak,1
kolam,1
dadaku,2
memerdu,2
lagu,1
hidupku,1
terbuka,1
bagiku,1
menengadah,1
mengalir,1
membelah,1
source,1
httpsdeweezzcomkumpulanpuisichairilanwar,1
